Timestamp,IO_Usage_Percent,Read_MB_s,Write_MB_s,Read_Count,Write_Count
2026-02-17 12:14:27,1.34,0.33,5.76,9,87
2026-02-17 12:14:37,0.75,0.42,3.56,15,190
2026-02-17 12:14:47,0.23,0.07,0.91,2,31
2026-02-17 12:14:57,0.09,0.02,0.4,1,29
2026-02-17 12:15:07,0.08,0.1,0.45,3,28
2026-02-17 12:15:17,0.04,0.03,0.21,0,14
2026-02-17 12:15:27,0.04,0.03,0.18,2,12
2026-02-17 12:15:37,0.03,0.0,0.15,0,6
2026-02-17 12:15:47,0.04,0.01,0.18,0,16
2026-02-17 12:15:57,0.03,0.0,0.14,1,18
2026-02-17 12:16:07,0.04,0.02,0.19,1,10
2026-02-17 12:16:17,0.05,0.01,0.24,0,14
2026-02-17 12:16:27,0.03,0.01,0.15,1,9
2026-02-17 12:16:37,0.1,0.05,0.4,2,31
2026-02-17 12:16:47,0.03,0.02,0.13,1,9
2026-02-17 12:16:57,0.03,0.02,0.14,1,11
2026-02-17 12:17:07,0.04,0.02,0.21,1,15
2026-02-17 12:17:17,0.03,0.01,0.12,0,8
2026-02-17 12:17:27,0.03,0.02,0.14,0,9
2026-02-17 12:17:37,0.03,0.01,0.11,0,7
2026-02-17 12:17:47,0.03,0.01,0.14,0,5
2026-02-17 12:17:57,0.02,0.0,0.08,0,5
2026-02-17 12:18:07,0.03,0.0,0.15,0,10
2026-02-17 12:18:17,0.03,0.01,0.14,0,9
2026-02-17 12:18:27,0.04,0.03,0.15,1,11
2026-02-17 12:18:37,0.05,0.05,0.22,1,9
2026-02-17 12:18:47,0.04,0.02,0.2,1,5
2026-02-17 12:18:57,0.03,0.0,0.14,0,8
2026-02-17 12:19:07,0.03,0.0,0.12,0,8
2026-02-17 12:19:17,0.03,0.0,0.17,0,12
2026-02-17 12:19:27,0.1,0.06,0.38,2,31
2026-02-17 12:19:37,0.05,0.03,0.25,1,11
2026-02-17 12:19:47,0.03,0.01,0.15,1,13
2026-02-17 12:19:57,0.02,0.01,0.09,0,5
2026-02-17 12:20:07,0.03,0.01,0.12,1,10
2026-02-17 12:20:17,0.03,0.01,0.12,0,7
2026-02-17 12:20:27,0.02,0.01,0.1,1,7
2026-02-17 12:20:37,0.03,0.01,0.14,0,9
2026-02-17 12:20:47,0.09,0.11,0.38,6,33
2026-02-17 12:20:57,0.02,0.0,0.1,0,6
2026-02-17 12:21:07,0.04,0.01,0.17,1,21
2026-02-17 12:21:17,0.04,0.03,0.18,0,7
2026-02-17 12:21:27,0.02,0.0,0.1,0,8
2026-02-17 12:21:37,0.1,0.09,0.41,1,13
2026-02-17 12:21:47,0.05,0.04,0.18,2,9
2026-02-17 12:21:57,0.02,0.0,0.1,0,5
2026-02-17 12:22:07,0.05,0.03,0.22,3,11
2026-02-17 12:22:17,0.03,0.01,0.13,0,7
2026-02-17 12:22:27,0.05,0.02,0.22,1,25
2026-02-17 12:22:37,0.04,0.02,0.23,1,11
2026-02-17 12:22:47,0.04,0.02,0.16,1,9
2026-02-17 12:22:57,0.04,0.03,0.17,1,13
2026-02-17 12:23:07,0.03,0.02,0.13,1,6
2026-02-17 12:23:17,0.03,0.01,0.15,1,12
2026-02-17 12:23:27,0.03,0.01,0.12,1,8
2026-02-17 12:23:37,0.03,0.01,0.15,1,6
2026-02-17 12:23:47,0.04,0.02,0.18,1,11
2026-02-17 12:23:57,0.03,0.02,0.11,1,9
2026-02-17 12:24:07,0.05,0.02,0.22,1,20
2026-02-17 12:24:17,0.03,0.02,0.14,1,14
2026-02-17 12:24:27,0.02,0.02,0.12,1,6
2026-02-17 12:24:37,0.07,0.05,0.3,2,13
2026-02-17 12:24:47,0.04,0.02,0.17,1,19
2026-02-17 12:24:57,0.03,0.02,0.1,1,4
2026-02-17 12:25:07,0.04,0.03,0.19,1,11
2026-02-17 12:25:17,0.03,0.02,0.14,1,9
2026-02-17 12:25:27,0.06,0.05,0.28,2,15
2026-02-17 12:25:37,0.03,0.01,0.15,1,10
2026-02-17 12:25:47,0.07,0.05,0.25,2,21
2026-02-17 12:25:57,0.03,0.01,0.1,1,5
2026-02-17 12:26:07,0.04,0.02,0.22,1,21
2026-02-17 12:26:17,0.95,0.81,3.58,22,31
2026-02-17 12:26:27,0.03,0.01,0.12,0,13
2026-02-17 12:26:37,0.04,0.02,0.17,1,9
2026-02-17 12:26:47,0.04,0.02,0.2,3,15
2026-02-17 12:26:57,0.03,0.01,0.11,1,7
2026-02-17 12:27:07,0.04,0.01,0.16,1,12
2026-02-17 12:27:17,0.03,0.02,0.16,1,10
2026-02-17 12:27:27,0.02,0.01,0.08,0,6
2026-02-17 12:27:37,0.04,0.01,0.16,1,9
2026-02-17 12:27:47,0.05,0.02,0.21,1,20
2026-02-17 12:27:57,0.08,0.01,0.5,1,8
2026-02-17 12:28:07,0.42,0.11,2.03,2,29
2026-02-17 12:28:17,2.39,0.05,11.83,2,58
2026-02-17 12:28:27,0.89,0.01,5.03,1,24
2026-02-17 12:28:37,0.03,0.01,0.15,0,11
2026-02-17 12:28:47,0.03,0.02,0.15,1,8
2026-02-17 12:28:57,0.02,0.0,0.12,1,6
2026-02-17 12:29:07,0.03,0.01,0.12,1,4
2026-02-17 12:29:17,0.05,0.02,0.21,1,28
2026-02-17 12:29:27,0.03,0.0,0.12,0,7
2026-02-17 12:29:37,0.03,0.01,0.14,0,6
2026-02-17 12:29:47,0.03,0.01,0.15,1,11
2026-02-17 12:29:57,0.02,0.01,0.11,0,6
2026-02-17 12:30:07,0.03,0.03,0.16,1,13
2026-02-17 12:30:17,0.03,0.01,0.15,0,12
2026-02-17 12:30:27,0.03,0.02,0.14,1,7
2026-02-17 12:30:37,0.03,0.01,0.17,1,15
2026-02-17 12:30:47,0.03,0.02,0.14,1,9
2026-02-17 12:30:57,0.03,0.01,0.15,1,9
2026-02-17 12:31:07,0.04,0.01,0.2,1,11
2026-02-17 12:31:17,0.06,0.03,0.2,1,10
2026-02-17 12:31:27,0.04,0.02,0.16,1,14
2026-02-17 12:31:37,0.05,0.03,0.17,1,16
2026-02-17 12:31:47,0.04,0.03,0.19,1,9
2026-02-17 12:31:57,0.03,0.01,0.16,1,11
2026-02-17 12:32:07,0.04,0.04,0.17,2,13
2026-02-17 12:32:17,0.03,0.02,0.12,1,12
2026-02-17 12:32:27,0.03,0.01,0.15,0,10
2026-02-17 12:32:37,0.02,0.01,0.16,0,9
2026-02-17 12:32:47,0.02,0.0,0.11,0,11
2026-02-17 12:32:57,0.03,0.02,0.13,0,5
2026-02-17 12:33:07,0.03,0.01,0.18,1,12
2026-02-17 12:33:17,0.02,0.0,0.11,0,6
2026-02-17 12:33:27,0.02,0.0,0.1,0,5
2026-02-17 12:33:37,0.02,0.0,0.12,0,6
2026-02-17 12:33:47,0.03,0.01,0.15,0,8
2026-02-17 12:33:57,0.02,0.01,0.1,0,7
2026-02-17 12:34:07,0.03,0.01,0.13,1,12
2026-02-17 12:34:17,0.04,0.01,0.18,0,14
2026-02-17 12:34:27,0.04,0.02,0.14,1,11
2026-02-17 12:34:37,0.05,0.03,0.21,1,11
2026-02-17 12:34:47,0.03,0.01,0.12,1,7
2026-02-17 12:34:57,0.06,0.03,0.2,2,15
2026-02-17 12:35:07,0.03,0.01,0.12,1,6
2026-02-17 12:35:17,0.03,0.02,0.14,1,10
2026-02-17 12:35:27,0.06,0.03,0.17,1,10
2026-02-17 12:35:37,0.03,0.01,0.13,1,9
2026-02-17 12:35:47,0.03,0.01,0.16,1,11
2026-02-17 12:35:57,0.05,0.03,0.17,1,8
2026-02-17 12:36:07,0.03,0.01,0.15,1,10
2026-02-17 12:36:17,0.03,0.01,0.14,0,12
2026-02-17 12:36:27,0.03,0.01,0.11,1,6
2026-02-17 12:36:37,0.03,0.01,0.13,0,15
2026-02-17 12:36:47,0.03,0.01,0.15,0,8
2026-02-17 12:36:57,0.03,0.01,0.14,0,8
2026-02-17 12:37:07,0.03,0.01,0.14,1,7
2026-02-17 12:37:17,0.03,0.01,0.13,1,8
2026-02-17 12:37:27,0.04,0.02,0.14,1,13
2026-02-17 12:37:37,0.1,0.05,0.4,1,28
2026-02-17 12:37:47,0.02,0.01,0.1,0,6
2026-02-17 12:37:57,0.04,0.02,0.19,1,9
2026-02-17 12:38:07,0.02,0.01,0.15,1,7
2026-02-17 12:38:17,0.02,0.01,0.11,0,11
2026-02-17 12:38:27,0.03,0.01,0.12,0,14
2026-02-17 12:38:37,0.03,0.01,0.16,1,10
2026-02-17 12:38:47,0.05,0.04,0.21,1,26
2026-02-17 12:38:57,0.51,0.83,1.94,30,318
2026-02-17 12:39:07,1.09,0.81,3.83,42,643
