Timestamp,Memory_Usage_Percent,Memory_Used_GB,Memory_Total_GB
2026-02-17 12:14:27,7.57,20.87,255.69
2026-02-17 12:14:37,7.3,21.02,255.69
2026-02-17 12:14:47,7.44,20.97,255.69
2026-02-17 12:14:57,7.47,21.0,255.69
2026-02-17 12:15:07,7.36,16.87,255.69
2026-02-17 12:15:17,7.52,17.03,255.69
2026-02-17 12:15:27,7.13,18.23,255.69
2026-02-17 12:15:37,6.78,18.17,255.69
2026-02-17 12:15:47,6.95,18.36,255.69
2026-02-17 12:15:57,7.17,17.82,255.69
2026-02-17 12:16:07,7.46,18.98,255.69
2026-02-17 12:16:17,6.84,18.91,255.69
2026-02-17 12:16:27,7.12,18.51,255.69
2026-02-17 12:16:37,7.17,19.24,255.69
2026-02-17 12:16:47,7.33,18.8,255.69
2026-02-17 12:16:57,7.14,17.95,255.69
2026-02-17 12:17:07,6.84,18.78,255.69
2026-02-17 12:17:17,7.29,17.92,255.69
2026-02-17 12:17:27,7.37,19.12,255.69
2026-02-17 12:17:37,7.08,18.52,255.69
2026-02-17 12:17:47,7.21,18.42,255.69
2026-02-17 12:17:57,7.08,18.11,255.69
2026-02-17 12:18:07,7.03,19.39,255.69
2026-02-17 12:18:17,7.39,18.5,255.69
2026-02-17 12:18:27,7.34,18.31,255.69
2026-02-17 12:18:37,7.27,18.37,255.69
2026-02-17 12:18:47,7.51,18.94,255.69
2026-02-17 12:18:57,6.93,18.83,255.69
2026-02-17 12:19:07,7.12,18.86,255.69
2026-02-17 12:19:17,7.32,18.92,255.69
2026-02-17 12:19:27,7.02,20.04,255.69
2026-02-17 12:19:37,7.36,18.33,255.69
2026-02-17 12:19:47,7.22,18.3,255.69
2026-02-17 12:19:57,6.95,18.11,255.69
2026-02-17 12:20:07,7.24,19.04,255.69
2026-02-17 12:20:17,7.29,19.38,255.69
2026-02-17 12:20:27,7.42,18.56,255.69
2026-02-17 12:20:37,7.33,18.13,255.69
2026-02-17 12:20:47,7.39,18.14,255.69
2026-02-17 12:20:57,7.36,19.11,255.69
2026-02-17 12:21:07,7.18,19.17,255.69
2026-02-17 12:21:17,7.07,19.08,255.69
2026-02-17 12:21:27,7.27,18.29,255.69
2026-02-17 12:21:37,7.21,18.88,255.69
2026-02-17 12:21:47,7.55,18.76,255.69
2026-02-17 12:21:57,7.52,18.87,255.69
2026-02-17 12:22:07,7.38,19.3,255.69
2026-02-17 12:22:17,7.3,18.83,255.69
2026-02-17 12:22:27,7.23,19.17,255.69
2026-02-17 12:22:37,7.06,18.77,255.69
2026-02-17 12:22:47,7.21,18.92,255.69
2026-02-17 12:22:57,7.25,19.14,255.69
2026-02-17 12:23:07,7.35,17.82,255.69
2026-02-17 12:23:17,7.36,18.52,255.69
2026-02-17 12:23:27,7.5,18.42,255.69
2026-02-17 12:23:37,7.11,18.31,255.69
2026-02-17 12:23:47,7.1,18.54,255.69
2026-02-17 12:23:57,7.51,19.76,255.69
