Timestamp,Power_W,Energy_kWh,Cost_EUR,Carbon_kgCO2
2026-02-17 12:14:27,128.04,0.0,0.0,0.0
2026-02-17 12:14:37,128.77,0.000358,0.0001,0.0
2026-02-17 12:14:47,128.84,0.000716,0.0001,0.0001
2026-02-17 12:14:57,130.97,0.001079,0.0002,0.0001
2026-02-17 12:15:07,124.53,0.001425,0.0003,0.0001
2026-02-17 12:15:17,125.47,0.001774,0.0003,0.0002
2026-02-17 12:15:27,127.78,0.002129,0.0004,0.0002
2026-02-17 12:15:37,126.35,0.00248,0.0004,0.0002
2026-02-17 12:15:47,125.6,0.002829,0.0005,0.0003
2026-02-17 12:15:57,126.54,0.00318,0.0006,0.0003
2026-02-17 12:16:07,128.5,0.003537,0.0006,0.0004
2026-02-17 12:16:17,127.73,0.003892,0.0007,0.0004
2026-02-17 12:16:27,129.96,0.004253,0.0008,0.0004
2026-02-17 12:16:37,128.56,0.00461,0.0008,0.0005
2026-02-17 12:16:47,126.33,0.004961,0.0009,0.0005
2026-02-17 12:16:57,126.16,0.005311,0.001,0.0005
2026-02-17 12:17:07,129.86,0.005672,0.001,0.0006
2026-02-17 12:17:17,126.66,0.006024,0.0011,0.0006
2026-02-17 12:17:27,127.87,0.006379,0.0011,0.0006
2026-02-17 12:17:37,127.06,0.006732,0.0012,0.0007
2026-02-17 12:17:47,125.14,0.00708,0.0013,0.0007
2026-02-17 12:17:57,128.74,0.007437,0.0013,0.0007
2026-02-17 12:18:07,128.17,0.007793,0.0014,0.0008
2026-02-17 12:18:17,126.05,0.008143,0.0015,0.0008
2026-02-17 12:18:27,127.84,0.008499,0.0015,0.0008
2026-02-17 12:18:37,126.06,0.008849,0.0016,0.0009
2026-02-17 12:18:47,126.81,0.009201,0.0017,0.0009
2026-02-17 12:18:57,126.96,0.009554,0.0017,0.001
2026-02-17 12:19:07,129.54,0.009913,0.0018,0.001
2026-02-17 12:19:17,125.54,0.010262,0.0018,0.001
2026-02-17 12:19:27,128.59,0.010619,0.0019,0.0011
2026-02-17 12:19:37,126.36,0.01097,0.002,0.0011
2026-02-17 12:19:47,126.11,0.011321,0.002,0.0011
2026-02-17 12:19:57,126.58,0.011672,0.0021,0.0012
2026-02-17 12:20:07,132.32,0.01204,0.0022,0.0012
2026-02-17 12:20:17,130.84,0.012403,0.0022,0.0012
2026-02-17 12:20:27,124.74,0.01275,0.0023,0.0013
2026-02-17 12:20:37,124.94,0.013097,0.0024,0.0013
2026-02-17 12:20:47,125.34,0.013445,0.0024,0.0013
2026-02-17 12:20:57,127.82,0.0138,0.0025,0.0014
2026-02-17 12:21:07,127.56,0.014154,0.0025,0.0014
2026-02-17 12:21:17,126.56,0.014506,0.0026,0.0015
2026-02-17 12:21:27,125.41,0.014854,0.0027,0.0015
2026-02-17 12:21:37,127.8,0.015209,0.0027,0.0015
2026-02-17 12:21:47,126.27,0.01556,0.0028,0.0016
2026-02-17 12:21:57,127.16,0.015913,0.0029,0.0016
