Timestamp,Memory_Usage_Percent,Memory_Used_GB,Memory_Total_GB
2026-02-19 14:20:38,5.30,13.45,255.69
2026-02-19 14:20:48,25.00,63.82,255.69
2026-02-19 14:20:58,33.20,84.81,255.69
2026-02-19 14:21:08,58.50,149.67,255.69
2026-02-19 14:21:18,57.90,147.92,255.69
2026-02-19 14:21:28,60.10,153.59,255.69
2026-02-19 14:21:38,63.30,161.86,255.69
2026-02-19 14:21:48,63.30,161.86,255.69
2026-02-19 14:21:58,63.40,162.12,255.69
2026-02-19 14:22:08,64.90,165.86,255.69
2026-02-19 14:22:18,64.90,165.88,255.69
2026-02-19 14:22:28,64.90,165.88,255.69
2026-02-19 14:22:38,64.90,165.83,255.69
2026-02-19 14:22:48,64.90,165.87,255.69
2026-02-19 14:22:58,64.90,165.95,255.69
2026-02-19 14:23:08,64.90,166.03,255.69
2026-02-19 14:23:18,64.90,166.00,255.69
2026-02-19 14:23:28,64.90,166.01,255.69
2026-02-19 14:23:38,65.00,166.11,255.69
2026-02-19 14:23:48,65.10,166.46,255.69
2026-02-19 14:23:58,65.00,166.27,255.69
2026-02-19 14:24:08,64.70,165.49,255.69
2026-02-19 14:24:18,64.70,165.48,255.69
2026-02-19 14:24:28,64.80,165.64,255.69
2026-02-19 14:24:38,66.40,169.91,255.69
2026-02-19 14:24:48,65.30,167.08,255.69
2026-02-19 14:24:58,65.30,167.02,255.69
2026-02-19 14:25:08,66.50,170.11,255.69
2026-02-19 14:25:18,67.10,171.61,255.69
2026-02-19 14:25:28,67.10,171.60,255.69
2026-02-19 14:25:38,67.10,171.64,255.69
2026-02-19 14:25:48,67.10,171.69,255.69
2026-02-19 14:25:58,67.20,171.76,255.69
2026-02-19 14:26:08,67.20,171.82,255.69
2026-02-19 14:26:18,67.20,171.87,255.69
2026-02-19 14:26:28,67.20,171.89,255.69
2026-02-19 14:26:39,67.20,171.95,255.69
2026-02-19 14:26:49,67.30,171.99,255.69
2026-02-19 14:26:59,67.30,172.08,255.69
2026-02-19 14:27:09,67.30,172.13,255.69
2026-02-19 14:27:19,67.20,171.93,255.69
2026-02-19 14:27:29,67.00,171.34,255.69
2026-02-19 14:27:39,67.00,171.32,255.69
2026-02-19 14:27:49,66.90,171.17,255.69
2026-02-19 14:27:59,66.50,169.99,255.69
2026-02-19 14:28:09,65.70,167.92,255.69
2026-02-19 14:28:19,65.60,167.79,255.69
2026-02-19 14:28:29,66.60,170.36,255.69
2026-02-19 14:28:39,67.70,173.01,255.69
2026-02-19 14:28:49,67.80,173.31,255.69
2026-02-19 14:28:59,67.70,173.23,255.69
2026-02-19 14:29:09,67.60,172.94,255.69
2026-02-19 14:29:19,67.60,172.90,255.69
2026-02-19 14:29:29,67.60,172.92,255.69
2026-02-19 14:29:39,67.60,172.96,255.69
2026-02-19 14:29:49,67.70,173.02,255.69
2026-02-19 14:29:59,67.70,173.08,255.69
2026-02-19 14:30:09,67.70,173.15,255.69
2026-02-19 14:30:19,67.70,173.19,255.69
2026-02-19 14:30:29,67.70,173.22,255.69
2026-02-19 14:30:39,67.80,173.24,255.69
2026-02-19 14:30:49,67.80,173.29,255.69
2026-02-19 14:30:59,67.80,173.32,255.69
2026-02-19 14:31:09,67.40,172.39,255.69
2026-02-19 14:31:19,67.20,171.86,255.69
2026-02-19 14:31:29,67.20,171.91,255.69
2026-02-19 14:31:39,67.30,172.03,255.69
2026-02-19 14:31:49,66.60,170.18,255.69
2026-02-19 14:31:59,66.40,169.73,255.69
2026-02-19 14:32:09,66.40,169.84,255.69
2026-02-19 14:32:19,67.40,172.23,255.69
2026-02-19 14:32:29,67.80,173.34,255.69
2026-02-19 14:32:39,67.90,173.65,255.69
2026-02-19 14:32:49,67.80,173.30,255.69
2026-02-19 14:32:59,67.70,173.03,255.69
2026-02-19 14:33:09,67.60,172.94,255.69
2026-02-19 14:33:19,67.70,172.99,255.69
2026-02-19 14:33:29,67.70,172.98,255.69
2026-02-19 14:33:39,67.70,173.04,255.69
2026-02-19 14:33:49,67.70,173.08,255.69
2026-02-19 14:33:59,67.70,173.15,255.69
2026-02-19 14:34:09,67.70,173.20,255.69
2026-02-19 14:34:19,67.80,173.24,255.69
2026-02-19 14:34:29,67.70,173.22,255.69
2026-02-19 14:34:39,67.60,172.73,255.69
2026-02-19 14:34:49,67.40,172.42,255.69
2026-02-19 14:34:59,67.40,172.23,255.69
2026-02-19 14:35:09,67.30,172.17,255.69
2026-02-19 14:35:19,66.80,170.73,255.69
2026-02-19 14:35:29,66.40,169.69,255.69
2026-02-19 14:35:39,66.30,169.42,255.69
2026-02-19 14:35:49,67.30,172.13,255.69
2026-02-19 14:35:59,67.70,173.16,255.69
2026-02-19 14:36:09,67.90,173.61,255.69
2026-02-19 14:36:19,67.80,173.42,255.69
2026-02-19 14:36:29,67.80,173.29,255.69
2026-02-19 14:36:39,67.80,173.34,255.69
2026-02-19 14:36:49,67.80,173.33,255.69
2026-02-19 14:36:59,67.80,173.41,255.69
2026-02-19 14:37:10,67.80,173.45,255.69
2026-02-19 14:37:20,67.80,173.47,255.69
2026-02-19 14:37:30,67.90,173.49,255.69
2026-02-19 14:37:40,67.90,173.54,255.69
2026-02-19 14:37:50,67.90,173.57,255.69
2026-02-19 14:38:00,67.90,173.65,255.69
2026-02-19 14:38:10,67.90,173.66,255.69
2026-02-19 14:38:20,67.70,173.02,255.69
2026-02-19 14:38:30,67.50,172.59,255.69
2026-02-19 14:38:40,67.50,172.52,255.69
2026-02-19 14:38:50,67.40,172.31,255.69
2026-02-19 14:39:00,66.80,170.74,255.69
2026-02-19 14:39:10,66.40,169.82,255.69
2026-02-19 14:39:20,66.40,169.76,255.69
2026-02-19 14:39:30,67.20,171.77,255.69
2026-02-19 14:39:40,67.60,172.90,255.69
2026-02-19 14:39:50,67.70,173.12,255.69
2026-02-19 14:40:00,67.80,173.24,255.69
2026-02-19 14:40:10,67.60,172.96,255.69
2026-02-19 14:40:20,67.70,172.99,255.69
2026-02-19 14:40:30,67.60,172.95,255.69
2026-02-19 14:40:40,67.60,172.92,255.69
