Timestamp,IO_Usage_Percent,Read_MB_s,Write_MB_s,Read_Count,Write_Count
2026-02-18 12:59:29,1.95,1.85,7.87,38,140
2026-02-18 12:59:39,2.70,1.07,12.43,47,266
2026-02-18 12:59:49,2.34,0.17,11.52,7,60
2026-02-18 12:59:59,0.09,0.07,0.40,3,20
2026-02-18 13:00:09,0.08,0.07,0.35,3,21
2026-02-18 13:00:19,0.04,0.03,0.15,2,10
2026-02-18 13:00:29,0.05,0.05,0.19,2,14
2026-02-18 13:00:39,0.15,0.02,0.72,1,12
2026-02-18 13:00:49,0.40,0.07,1.94,3,24
2026-02-18 13:00:59,0.18,0.10,0.77,4,23
2026-02-18 13:01:09,0.12,0.04,0.58,2,17
2026-02-18 13:01:19,0.04,0.04,0.19,2,13
2026-02-18 13:01:29,0.03,0.02,0.13,1,8
2026-02-18 13:01:39,0.04,0.03,0.17,2,11
2026-02-18 13:01:49,0.03,0.02,0.14,1,8
2026-02-18 13:01:59,0.03,0.02,0.12,1,7
2026-02-18 13:02:09,0.06,0.02,0.26,1,17
2026-02-18 13:02:19,0.03,0.01,0.12,1,8
2026-02-18 13:02:29,0.05,0.03,0.21,2,15
2026-02-18 13:02:39,0.05,0.03,0.25,2,15
2026-02-18 13:02:49,0.03,0.02,0.13,1,8
2026-02-18 13:02:59,0.04,0.04,0.15,2,10
2026-02-18 13:03:09,1.16,1.11,4.71,25,99
2026-02-18 13:03:19,0.04,0.02,0.20,1,19
2026-02-18 13:03:29,0.02,0.00,0.10,0,8
2026-02-18 13:03:39,0.03,0.00,0.13,0,7
2026-02-18 13:03:49,0.04,0.03,0.19,1,16
2026-02-18 13:03:59,0.02,0.01,0.10,0,6
2026-02-18 13:04:09,0.04,0.01,0.19,1,11
2026-02-18 13:04:19,0.04,0.02,0.16,2,9
2026-02-18 13:04:29,0.03,0.02,0.15,1,9
2026-02-18 13:04:39,0.05,0.04,0.22,3,16
2026-02-18 13:04:49,0.03,0.02,0.14,1,10
2026-02-18 13:04:59,0.03,0.01,0.12,0,7
2026-02-18 13:05:09,0.08,0.03,0.37,2,32
2026-02-18 13:05:19,0.03,0.03,0.14,2,12
2026-02-18 13:05:29,0.02,0.01,0.11,0,7
2026-02-18 13:05:39,0.03,0.01,0.12,0,8
2026-02-18 13:05:49,0.04,0.02,0.19,1,15
2026-02-18 13:05:59,0.02,0.00,0.10,0,5
2026-02-18 13:06:09,0.05,0.03,0.23,2,14
2026-02-18 13:06:19,0.02,0.01,0.09,1,6
2026-02-18 13:06:29,0.05,0.03,0.22,2,21
2026-02-18 13:06:39,0.03,0.01,0.14,0,8
2026-02-18 13:06:49,0.03,0.01,0.14,0,12
2026-02-18 13:06:59,0.03,0.00,0.13,0,9
2026-02-18 13:07:09,0.16,0.17,0.65,10,60
2026-02-18 13:07:19,0.06,0.04,0.25,2,26
2026-02-18 13:07:29,0.03,0.01,0.13,1,9
2026-02-18 13:07:39,0.04,0.02,0.19,1,16
2026-02-18 13:07:49,0.02,0.01,0.11,0,10
2026-02-18 13:07:59,0.02,0.01,0.11,0,7
2026-02-18 13:08:09,0.04,0.01,0.20,0,13
2026-02-18 13:08:19,0.02,0.01,0.11,1,7
2026-02-18 13:08:29,0.04,0.01,0.16,1,15
2026-02-18 13:08:39,0.03,0.00,0.13,0,11
2026-02-18 13:08:49,0.02,0.01,0.10,0,6
2026-02-18 13:08:59,0.03,0.01,0.13,1,11
2026-02-18 13:09:09,0.05,0.02,0.21,1,13
2026-02-18 13:09:19,0.08,0.09,0.29,3,9
2026-02-18 13:09:29,0.04,0.01,0.17,1,14
2026-02-18 13:09:40,0.03,0.01,0.12,1,7
2026-02-18 13:09:50,0.02,0.01,0.12,0,10
