Timestamp,Memory_Usage_Percent,Memory_Used_GB,Memory_Total_GB
2026-02-18 12:59:19,5.00,12.91,255.69
2026-02-18 12:59:29,14.10,36.08,255.69
2026-02-18 12:59:39,24.10,61.53,255.69
2026-02-18 12:59:49,34.40,87.89,255.69
2026-02-18 12:59:59,21.60,55.33,255.69
2026-02-18 13:00:09,22.20,56.88,255.69
2026-02-18 13:00:19,22.30,56.92,255.69
2026-02-18 13:00:29,22.50,57.42,255.69
2026-02-18 13:00:39,22.50,57.50,255.69
2026-02-18 13:00:49,22.10,56.44,255.69
2026-02-18 13:00:59,22.70,58.13,255.69
2026-02-18 13:01:09,22.70,58.17,255.69
2026-02-18 13:01:19,22.80,58.22,255.69
2026-02-18 13:01:29,22.80,58.30,255.69
2026-02-18 13:01:39,23.40,59.91,255.69
2026-02-18 13:01:49,23.60,60.47,255.69
2026-02-18 13:01:59,24.30,62.18,255.69
2026-02-18 13:02:09,24.40,62.43,255.69
2026-02-18 13:02:19,24.50,62.70,255.69
2026-02-18 13:02:29,25.30,64.59,255.69
2026-02-18 13:02:39,25.20,64.56,255.69
2026-02-18 13:02:49,25.80,65.99,255.69
2026-02-18 13:02:59,25.50,65.11,255.69
2026-02-18 13:03:09,25.50,65.15,255.69
2026-02-18 13:03:19,25.90,66.30,255.69
2026-02-18 13:03:29,26.00,66.44,255.69
2026-02-18 13:03:39,25.80,66.07,255.69
2026-02-18 13:03:49,25.50,65.24,255.69
2026-02-18 13:03:59,25.50,65.32,255.69
2026-02-18 13:04:09,25.70,65.67,255.69
2026-02-18 13:04:19,25.80,65.89,255.69
2026-02-18 13:04:29,25.90,66.12,255.69
2026-02-18 13:04:39,25.90,66.20,255.69
2026-02-18 13:04:49,25.90,66.26,255.69
2026-02-18 13:04:59,25.90,66.35,255.69
2026-02-18 13:05:09,26.00,66.40,255.69
2026-02-18 13:05:19,26.00,66.45,255.69
2026-02-18 13:05:29,26.00,66.46,255.69
