Timestamp,IO_Usage_Percent,Read_MB_s,Write_MB_s,Read_Count,Write_Count
2026-02-16 14:31:52,1.30,0.32,6.15,11,76
2026-02-16 14:32:02,0.84,0.40,3.78,14,208
2026-02-16 14:32:12,0.21,0.08,0.96,3,50
2026-02-16 14:32:22,0.08,0.02,0.39,1,27
2026-02-16 14:32:32,0.10,0.08,0.43,3,25
2026-02-16 14:32:42,0.05,0.02,0.24,1,16
2026-02-16 14:32:52,0.04,0.03,0.19,2,10
2026-02-16 14:33:02,0.03,0.00,0.15,0,7
2026-02-16 14:33:12,0.04,0.01,0.19,0,14
2026-02-16 14:33:23,0.03,0.00,0.14,1,14
2026-02-16 14:33:33,0.04,0.02,0.19,1,10
2026-02-16 14:33:43,0.05,0.01,0.26,0,15
2026-02-16 14:33:53,0.03,0.01,0.15,1,9
2026-02-16 14:34:03,0.09,0.05,0.39,2,24
2026-02-16 14:34:13,0.03,0.02,0.14,1,8
2026-02-16 14:34:23,0.03,0.02,0.14,1,8
2026-02-16 14:34:33,0.04,0.02,0.20,1,14
2026-02-16 14:34:43,0.03,0.01,0.13,0,9
2026-02-16 14:34:53,0.03,0.02,0.16,0,10
2026-02-16 14:35:03,0.03,0.01,0.12,0,7
2026-02-16 14:35:13,0.03,0.01,0.14,0,8
2026-02-16 14:35:23,0.02,0.00,0.09,0,5
2026-02-16 14:35:33,0.03,0.00,0.15,0,11
2026-02-16 14:35:43,0.03,0.01,0.12,0,9
2026-02-16 14:35:53,0.04,0.03,0.17,1,8
2026-02-16 14:36:03,0.05,0.05,0.22,1,9
2026-02-16 14:36:13,0.04,0.02,0.17,1,8
2026-02-16 14:36:23,0.03,0.00,0.14,0,9
2026-02-16 14:36:33,0.03,0.00,0.12,0,8
2026-02-16 14:36:43,0.03,0.00,0.17,0,12
2026-02-16 14:36:53,0.08,0.06,0.37,3,25
2026-02-16 14:37:03,0.05,0.03,0.22,1,9
2026-02-16 14:37:13,0.03,0.01,0.16,1,11
2026-02-16 14:37:23,0.02,0.01,0.10,0,5
2026-02-16 14:37:33,0.03,0.01,0.14,1,8
2026-02-16 14:37:43,0.03,0.01,0.12,0,8
2026-02-16 14:37:53,0.02,0.01,0.11,1,6
2026-02-16 14:38:03,0.03,0.01,0.15,0,10
2026-02-16 14:38:13,0.10,0.10,0.41,6,45
2026-02-16 14:38:23,0.02,0.00,0.09,0,5
2026-02-16 14:38:33,0.04,0.01,0.18,1,17
2026-02-16 14:38:43,0.04,0.03,0.17,0,8
2026-02-16 14:38:53,0.02,0.00,0.11,0,6
2026-02-16 14:39:03,0.10,0.09,0.41,1,19
2026-02-16 14:39:13,0.05,0.03,0.20,2,11
2026-02-16 14:39:23,0.02,0.00,0.10,0,5
2026-02-16 14:39:33,0.05,0.03,0.19,2,12
2026-02-16 14:39:43,0.03,0.01,0.12,0,8
2026-02-16 14:39:53,0.05,0.02,0.22,1,24
