Timestamp,Memory_Usage_Percent,Memory_Used_GB,Memory_Total_GB
2026-02-16 14:31:42,0.7,1.68,255.69
2026-02-16 14:31:52,1.4,3.65,255.69
2026-02-16 14:32:02,1.7,4.26,255.69
2026-02-16 14:32:12,6.2,15.80,255.69
2026-02-16 14:32:22,5.5,14.05,255.69
2026-02-16 14:32:32,5.4,13.86,255.69
2026-02-16 14:32:42,5.5,14.09,255.69
2026-02-16 14:32:52,5.6,14.26,255.69
2026-02-16 14:33:02,5.6,14.27,255.69
2026-02-16 14:33:13,5.6,14.28,255.69
2026-02-16 14:33:23,5.6,14.30,255.69
2026-02-16 14:33:33,5.6,14.32,255.69
2026-02-16 14:33:43,5.6,14.34,255.69
2026-02-16 14:33:53,5.6,14.36,255.69
2026-02-16 14:34:03,5.6,14.38,255.69
2026-02-16 14:34:13,5.6,14.39,255.69
2026-02-16 14:34:23,5.6,14.40,255.69
2026-02-16 14:34:33,5.6,14.41,255.69
2026-02-16 14:34:43,5.6,14.40,255.69
2026-02-16 14:34:53,5.6,14.40,255.69
2026-02-16 14:35:03,5.6,14.41,255.69
2026-02-16 14:35:13,5.6,14.42,255.69
2026-02-16 14:35:23,5.6,14.43,255.69
2026-02-16 14:35:33,5.6,14.44,255.69
2026-02-16 14:35:43,5.7,14.45,255.69
2026-02-16 14:35:53,5.7,14.45,255.69
2026-02-16 14:36:03,5.7,14.45,255.69
2026-02-16 14:36:13,5.7,14.46,255.69
2026-02-16 14:36:23,5.7,14.46,255.69
2026-02-16 14:36:33,5.7,14.46,255.69
2026-02-16 14:36:43,5.7,14.47,255.69
2026-02-16 14:36:53,5.7,14.46,255.69
2026-02-16 14:37:03,5.7,14.47,255.69
2026-02-16 14:37:13,5.7,14.48,255.69
2026-02-16 14:37:23,5.7,14.48,255.69
2026-02-16 14:37:33,5.7,14.48,255.69
2026-02-16 14:37:43,5.7,14.48,255.69
2026-02-16 14:37:53,5.7,14.50,255.69
2026-02-16 14:38:03,5.7,14.51,255.69
2026-02-16 14:38:13,5.7,14.50,255.69
2026-02-16 14:38:23,5.7,14.50,255.69
2026-02-16 14:38:33,5.7,14.54,255.69
2026-02-16 14:38:43,5.7,14.53,255.69
2026-02-16 14:38:53,5.7,14.53,255.69
2026-02-16 14:39:03,5.7,14.53,255.69
2026-02-16 14:39:13,5.7,14.54,255.69
2026-02-16 14:39:23,5.7,14.53,255.69
2026-02-16 14:39:33,5.7,14.53,255.69
2026-02-16 14:39:43,5.7,14.54,255.69
2026-02-16 14:39:53,5.7,14.55,255.69
2026-02-16 14:40:03,5.7,14.56,255.69
2026-02-16 14:40:13,5.7,14.56,255.69
2026-02-16 14:40:23,5.7,14.57,255.69
